eng_date,sex,suicide
Jul 2017,Males,237
Jul 2017,Females,195
Aug 2017,Males,232
Aug 2017,Females,181
Sep 2017,Males,243
Sep 2017,Females,179
Oct 2017,Males,244
Oct 2017,Females,191
Nov 2017,Males,226
Nov 2017,Females,171
Dec 2017,Males,198
Dec 2017,Females,161
Jan 2018,Males,199
Jan 2018,Females,169
Feb 2018,Males,229
Feb 2018,Females,180
Mar 2018,Males,255
Mar 2018,Females,191
Apr 2018,Males,269
Apr 2018,Females,213
May 2018,Males,264
May 2018,Females,230
Jun 2018,Males,308
Jun 2018,Females,261
Jul 2018,Males,304
Jul 2018,Females,244
Aug 2018,Males,242
Aug 2018,Females,194
Sep 2018,Males,244
Sep 2018,Females,178
Oct 2018,Males,261
Oct 2018,Females,176
Nov 2018,Males,254
Nov 2018,Females,203
Dec 2018,Males,247
Dec 2018,Females,195
Jan 2019,Males,239
Jan 2019,Females,174
Feb 2019,Males,244
Feb 2019,Females,195
Mar 2019,Males,268
Mar 2019,Females,202
Apr 2019,Males,308
Apr 2019,Females,225
May 2019,Males,343
May 2019,Females,255
Jun 2019,Males,358
Jun 2019,Females,246
Jul 2019,Males,312
Jul 2019,Females,221
Aug 2019,Males,294
Aug 2019,Females,203
Sep 2019,Males,290
Sep 2019,Females,188
Oct 2019,Males,264
Oct 2019,Females,182
Nov 2019,Males,284
Nov 2019,Females,184
Dec 2019,Males,259
Dec 2019,Females,159
Jan 2020,Males,235
Jan 2020,Females,159
Feb 2020,Males,253
Feb 2020,Females,172
Mar 2020,Males,279
Mar 2020,Females,180
Apr 2020,Males,298
Apr 2020,Females,243
May 2020,Males,336
May 2020,Females,288
Jun 2020,Males,471
Jun 2020,Females,347
Jul 2020,Males,499
Jul 2020,Females,339
Aug 2020,Males,402
Aug 2020,Females,259
Sep 2020,Males,351
Sep 2020,Females,237
Oct 2020,Males,329
Oct 2020,Females,221
Nov 2020,Males,333
Nov 2020,Females,211
Dec 2020,Males,306
Dec 2020,Females,220
Jan 2021,Males,295
Jan 2021,Females,217
Feb 2021,Males,305
Feb 2021,Females,207
Mar 2021,Males,318
Mar 2021,Females,225
Apr 2021,Males,348
Apr 2021,Females,241
May 2021,Males,371
May 2021,Females,258
Jun 2021,Males,423
Jun 2021,Females,309
