eng_date,province,suicide
Jul 2017,Bagmati,128
Jul 2017,Gandaki,54
Jul 2017,Karnali,19
Jul 2017,Lumbini,74
Jul 2017,Province 1,76
Jul 2017,Province 2,48
Jul 2017,Sudurpashchim,33
Aug 2017,Bagmati,105
Aug 2017,Gandaki,47
Aug 2017,Karnali,18
Aug 2017,Lumbini,77
Aug 2017,Province 1,75
Aug 2017,Province 2,52
Aug 2017,Sudurpashchim,39
Sep 2017,Bagmati,102
Sep 2017,Gandaki,40
Sep 2017,Karnali,20
Sep 2017,Lumbini,93
Sep 2017,Province 1,77
Sep 2017,Province 2,42
Sep 2017,Sudurpashchim,48
Oct 2017,Bagmati,113
Oct 2017,Gandaki,44
Oct 2017,Karnali,23
Oct 2017,Lumbini,92
Oct 2017,Province 1,80
Oct 2017,Province 2,36
Oct 2017,Sudurpashchim,47
Nov 2017,Bagmati,95
Nov 2017,Gandaki,36
Nov 2017,Karnali,18
Nov 2017,Lumbini,90
Nov 2017,Province 1,86
Nov 2017,Province 2,38
Nov 2017,Sudurpashchim,34
Dec 2017,Bagmati,88
Dec 2017,Gandaki,31
Dec 2017,Karnali,13
Dec 2017,Lumbini,80
Dec 2017,Province 1,85
Dec 2017,Province 2,34
Dec 2017,Sudurpashchim,28
Jan 2018,Bagmati,99
Jan 2018,Gandaki,38
Jan 2018,Karnali,13
Jan 2018,Lumbini,60
Jan 2018,Province 1,77
Jan 2018,Province 2,49
Jan 2018,Sudurpashchim,32
Feb 2018,Bagmati,106
Feb 2018,Gandaki,39
Feb 2018,Karnali,15
Feb 2018,Lumbini,77
Feb 2018,Province 1,84
Feb 2018,Province 2,50
Feb 2018,Sudurpashchim,38
Mar 2018,Bagmati,115
Mar 2018,Gandaki,39
Mar 2018,Karnali,18
Mar 2018,Lumbini,83
Mar 2018,Province 1,98
Mar 2018,Province 2,49
Mar 2018,Sudurpashchim,44
Apr 2018,Bagmati,115
Apr 2018,Gandaki,48
Apr 2018,Karnali,22
Apr 2018,Lumbini,97
Apr 2018,Province 1,104
Apr 2018,Province 2,54
Apr 2018,Sudurpashchim,42
May 2018,Bagmati,101
May 2018,Gandaki,53
May 2018,Karnali,21
May 2018,Lumbini,114
May 2018,Province 1,107
May 2018,Province 2,56
May 2018,Sudurpashchim,42
Jun 2018,Bagmati,120
Jun 2018,Gandaki,48
Jun 2018,Karnali,26
Jun 2018,Lumbini,122
Jun 2018,Province 1,126
Jun 2018,Province 2,81
Jun 2018,Sudurpashchim,46
Jul 2018,Bagmati,124
Jul 2018,Gandaki,55
Jul 2018,Karnali,30
Jul 2018,Lumbini,113
Jul 2018,Province 1,114
Jul 2018,Province 2,75
Jul 2018,Sudurpashchim,37
Aug 2018,Bagmati,107
Aug 2018,Gandaki,60
Aug 2018,Karnali,27
Aug 2018,Lumbini,77
Aug 2018,Province 1,86
Aug 2018,Province 2,44
Aug 2018,Sudurpashchim,35
Sep 2018,Bagmati,102
Sep 2018,Gandaki,53
Sep 2018,Karnali,25
Sep 2018,Lumbini,87
Sep 2018,Province 1,77
Sep 2018,Province 2,38
Sep 2018,Sudurpashchim,40
Oct 2018,Bagmati,100
Oct 2018,Gandaki,51
Oct 2018,Karnali,17
Oct 2018,Lumbini,109
Oct 2018,Province 1,77
Oct 2018,Province 2,40
